Domain,PLP_all,Total_all,Length_all,Density_all,Fraction_all,PLP_cur,Total_cur,Length_cur,Density_cur,Fraction_cur
C2A,8,92,122,0.06557377049180328,0.08695652173913043,3,42,122,0.02459016393442623,0.07142857142857142
C2B,20,88,121,0.1652892561983471,0.22727272727272727,11,37,121,0.09090909090909091,0.2972972972972973
C2C,18,99,116,0.15517241379310345,0.18181818181818182,11,43,116,0.09482758620689655,0.2558139534883721
C2D,18,88,115,0.1565217391304348,0.20454545454545456,12,36,115,0.10434782608695652,0.3333333333333333
C2E,15,103,116,0.12931034482758622,0.14563106796116504,9,34,116,0.07758620689655173,0.2647058823529412
C2F,15,85,117,0.1282051282051282,0.17647058823529413,11,38,117,0.09401709401709402,0.2894736842105263
TM,3,25,32,0.09375,0.12,1,9,32,0.03125,0.1111111111111111
Linker,158,1020,1258,0.12559618441971382,0.15490196078431373,103,405,1258,0.08187599364069953,0.254320987654321
