Domain,Total_variants,PLP,BLB,VUS,Conflicting,Other,Denominator,Fraction_pathogenic,CI_lo,CI_hi,CI_err_lo,CI_err_hi
C2A,92,8,42,19,23,0,92,0.08695652173913043,0.04472065376437301,0.16230427069431713,0.042235867974757424,0.0753477489551867
C2B,88,20,37,18,10,3,85,0.23529411764705882,0.1577942000874349,0.3356863315553992,0.07749991755962393,0.10039221390834036
C2C,99,18,46,23,7,5,94,0.19148936170212766,0.12470043241202647,0.2825046827945932,0.06678892929010119,0.09101532109246552
C2D,88,18,38,22,10,0,88,0.20454545454545456,0.133486198004829,0.30032157537891,0.07105925654062556,0.09577612083345546
C2E,103,15,49,27,12,0,103,0.14563106796116504,0.09028388487703763,0.22646165244175953,0.05534718308412741,0.08083058448059449
C2F,85,15,34,25,10,1,84,0.17857142857142858,0.1113109090339025,0.2739461901081896,0.06726051953752607,0.09537476153676103
TM,25,3,13,7,2,0,25,0.12,0.04166741357068093,0.2995619218337349,0.07833258642931906,0.17956192183373493
Linker,1020,158,419,299,127,17,1003,0.1575274177467597,0.1362936770938596,0.1813745638687705,0.021233740652900124,0.023847146122010776
